offset 13, kernel32
9513DB01, GetGeoInfoW
7399BF31, GetHandleContext
7F9DF944, GetHandleInformation
AD9312E2, GetLargestConsoleWindowSize
75DA1966, GetLastError
297DDA19, GetLinguistLangSize
B98C88CF, GetLocalTime
E8983477, GetLocaleInfoA
E898348D, GetLocaleInfoW
79B4095D, GetLogicalDriveStringsA
79B40973, GetLogicalDriveStringsW
14C22B19, GetLogicalDrives
56472C4B, GetLogicalProcessorInformation
B1DFD8BA, GetLongPathNameA
B1DFD8D0, GetLongPathNameW
F605D5DF, GetMailslotInfo
45B06D76, GetModuleFileNameA
45B06D8C, GetModuleFileNameW
D3324904, GetModuleHandleA
D0524275, GetModuleHandleExA
D052428B, GetModuleHandleExW
D332491A, GetModuleHandleW
28174C1F, GetNamedPipeHandleStateA
28174C35, GetNamedPipeHandleStateW
55A1372C, GetNamedPipeInfo
DD2B205D, GetNativeSystemInfo
6ABE78F6, GetNextVDMCommand
0C45063F, GetNlsSectionName
8111F7C6, GetNumaAvailableMemory
BE9C8436, GetNumaAvailableMemoryNode
A75076B5, GetNumaHighestNodeNumber
5C7CE30E, GetNumaNodeProcessorMask
553465E9, GetNumaProcessorMap
30EAAD88, GetNumaProcessorNode
1EADEFFE, GetNumberFormatA
1EADF014, GetNumberFormatW
BC34E91A, GetNumberOfConsoleFonts
B416650A, GetNumberOfConsoleInputEvents
F22AB605, GetNumberOfConsoleMouseButtons
8DB10CAA, GetOEMCP
C087DCE8, GetOverlappedResult
2A556734, GetPriorityClass
E50CB49D, GetPrivateProfileIntA
E50CB4B3, GetPrivateProfileIntW
20992B8A, GetPrivateProfileSectionA
6DEABF4D, GetPrivateProfileSectionNamesA
6DEABF63, GetPrivateProfileSectionNamesW
20992BA0, GetPrivateProfileSectionW
8F2A152D, GetPrivateProfileStringA
8F2A1543, GetPrivateProfileStringW
A792126D, GetPrivateProfileStructA
A7921283, GetPrivateProfileStructW
7C0DFCAA, GetProcAddress
86DDED92, GetProcessAffinityMask
2AE27D01, GetProcessDEPPolicy
7201C23C, GetProcessHandleCount
A80EECAE, GetProcessHeap
657540EA, GetProcessHeaps
FA9C1BAF, GetProcessId
284D9E6A, GetProcessIoCounters
4CEBB754, GetProcessPriorityBoost
3CC0CA31, GetProcessShutdownParameters
6D1E03EA, GetProcessTimes
67014887, GetProcessVersion
0ACC6B83, GetProcessWorkingSetSize
2AB60F1C, GetProfileIntA
2AB60F32, GetProfileIntW
B6410FE4, GetProfileSectionA
B6410FFA, GetProfileSectionW
8BB567E2, GetProfileStringA
8BB567F8, GetProfileStringW
0232649F, GetQueuedCompletionStatus
61A77E7F, GetShortPathNameA
61A77E95, GetShortPathNameW
867AE3D7, GetStartupInfoA
867AE3ED, GetStartupInfoW
7487D823, GetStdHandle
CD510FFA, GetStringTypeA
5803FFF4, GetStringTypeExA
5804000A, GetStringTypeExW
CD511010, GetStringTypeW
1E30D112, GetSystemDEPPolicy
7695E96B, GetSystemDefaultLCID
F1C443E1, GetSystemDefaultLangID
9960AB94, GetSystemDefaultUILanguage
B8E579C1, GetSystemDirectoryA
B8E579D7, GetSystemDirectoryW
90D3970F, GetSystemInfo
32EA4651, GetSystemPowerStatus
BF1387F5, GetSystemRegistryQuota
A70B95C5, GetSystemTime
2D1054A0, GetSystemTimeAdjustment
89D7610D, GetSystemTimeAsFileTime
AE2D38CF, GetSystemTimes
6FAA1C0B, GetSystemWindowsDirectoryA
6FAA1C21, GetSystemWindowsDirectoryW
FA92E5F7, GetSystemWow64DirectoryA
FA92E60D, GetSystemWow64DirectoryW
D945CE60, GetTapeParameters
45675841, GetTapePosition
A910102A, GetTapeStatus
E7AC2238, GetTempFileNameA
E7AC224E, GetTempFileNameW
5B8ACA33, GetTempPathA
5B8ACA49, GetTempPathW
68A7C7D2, GetThreadContext
36EBB416, GetThreadIOPendingFlag
6323C846, GetThreadLocale
D89EF394, GetThreadPriority
4DEBB5FF, GetThreadPriorityBoost
7CB598D1, GetThreadSelectorEntry
